[0.000000] (-) TimerEvent: {}
[0.000201] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000240] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.000421] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000449] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000473] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000497] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.000520] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000542] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000562] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000583] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000603] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000623] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000643] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000662] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000679] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000696] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000712] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000728] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000744] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000761] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000778] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000794] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000811] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.000828] (-) JobUnselected: {'identifier': 'image_proc'}
[0.000844] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.000860] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.000876] (-) JobUnselected: {'identifier': 'image_view'}
[0.000892] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.000909] (-) JobUnselected: {'identifier': 'my_robot_controller'}
[0.000925] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.000941] (-) JobUnselected: {'identifier': 'rtabmap'}
[0.000958] (-) JobUnselected: {'identifier': 'rtabmap_conversions'}
[0.000974] (-) JobUnselected: {'identifier': 'rtabmap_demos'}
[0.000990] (-) JobUnselected: {'identifier': 'rtabmap_examples'}
[0.001006] (-) JobUnselected: {'identifier': 'rtabmap_launch'}
[0.001022] (-) JobUnselected: {'identifier': 'rtabmap_msgs'}
[0.001038] (-) JobUnselected: {'identifier': 'rtabmap_odom'}
[0.001054] (-) JobUnselected: {'identifier': 'rtabmap_python'}
[0.001070] (-) JobUnselected: {'identifier': 'rtabmap_ros'}
[0.001087] (-) JobUnselected: {'identifier': 'rtabmap_rviz_plugins'}
[0.001104] (-) JobUnselected: {'identifier': 'rtabmap_slam'}
[0.001120] (-) JobUnselected: {'identifier': 'rtabmap_sync'}
[0.001137] (-) JobUnselected: {'identifier': 'rtabmap_util'}
[0.001153] (-) JobUnselected: {'identifier': 'rtabmap_viz'}
[0.001169] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.001185] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.001202] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.001218] (-) JobUnselected: {'identifier': 'tutourial_intefaces'}
[0.001309] (-) EventReactorShutdown: {}
